link,name,organization,date,location,killed,type_of_death,
https://cpj.org/data/people/abdul-salam-kanaan/,Abdul Salam Kanaan,Al-Jisr TV,"October 31, 2016",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdul-samad-rohani/,Abdul Samad Rohani,BBC and Pajhwok Afghan News,"June 7 or 8, 2008",Afghanistan,Killed,Murder,
https://cpj.org/data/people/abdul-shariff/,Abdul Shariff,freelance,"January 9, 1994",South Africa,Killed,Crossfire,
https://cpj.org/data/people/abdul-wahab/,Abdul Wahab,Express News,"December 6, 2010",Pakistan,Killed,Dangerous Assignment,
https://cpj.org/data/people/abdul-rahim-nasrallah-al-shimari/,Abdul-Rahim Nasrallah al-Shimari,Al-Shaabiya,"October 12, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/abdulai-jumah-jalloh/,Abdulai Jumah Jalloh,African Champion,"February 3, 1999",Sierra Leone,Killed,Murder,
https://cpj.org/data/people/abdulkadir-ahmed/,Abdulkadir Ahmed,Freelance,"December 5, 2014",Somalia,Killed,Murder,
https://cpj.org/data/people/abdulkadir-mahad-moallim-kaskey/,Abdulkadir Mahad Moallim Kaskey,Radio Banadir,"August 24, 2007",Somalia,Killed,Crossfire,
https://cpj.org/data/people/abdulkhafar-abdulkadir/,Abdulkhafar Abdulkadir,freelance,"December 3, 2009",Somalia,Killed,Crossfire,
https://cpj.org/data/people/abdullah-al-qadry/,Abdullah al-Qadry,Belqees TV,"April 13, 2018",Yemen,Killed,Crossfire,
https://cpj.org/data/people/abdullah-mire-hashi/,Abdullah Mire Hashi,Darul Sunnah,"October 27, 2018",Somalia,Killed,Murder,
https://cpj.org/data/people/abdullah-mohammad-ghannam/,Abdullah Mohammad Ghannam,Shahba Press Agency,"July 14, 2016",Syria,Killed,Crossfire,
https://cpj.org/data/people/abdullah-qabil/,Abdullah Qabil,"Yemen Youth TV, Belqees TV","May 21, 2015",Yemen,Killed,Crossfire,
https://cpj.org/data/people/abdullahi-madkeer/,Abdullahi Madkeer,DMC Radio,"January 24, 2003",Somalia,Killed,Dangerous Assignment,
https://cpj.org/data/people/abdullahi-osman-moalim/,Abdullahi Osman Moalim,"Jubbaland TV, Codka Hiraan","September 13, 2017",Somalia,Killed,Murder,
https://cpj.org/data/people/abdulmalik-akhmedilov/,Abdulmalik Akhmedilov,Hakikat and Sogratl,"August 11, 2009",Russia,Killed,Murder,
https://cpj.org/data/people/abdulrazak-hashim-ayal-al-khakani/,Abdulrazak Hashim Ayal al-Khakani,Jumhuriyat al-Iraq,"February 5, 2007",Iraq,Killed,Murder,
https://cpj.org/data/people/abshir-ali-gabre/,Abshir Ali Gabre,Radio Jowhar,"May 16, 2007",Somalia,Killed,Crossfire,
https://cpj.org/data/people/abukar-hassan-mohamoud/,Abukar Hassan Mohamoud,Somaliweyn Radio,"February 28, 2012",Somalia,Killed,Murder,
https://cpj.org/data/people/achyutananda-sahu/,Achyutananda Sahu,Doordarshan,"October 30, 2018",India,Killed,Crossfire,
https://cpj.org/data/people/adam-juma/,Adam Juma,Raja FM,"January 25, 2015",South Sudan,Killed,Murder,
https://cpj.org/data/people/adam-ward/,Adam Ward,WDBJ7,"August 26, 2015",USA,Killed,Dangerous Assignment,
https://cpj.org/data/people/adeeb-al-janani/,Adeeb al-Janani,Belqees TV,"December 30, 2020",Yemen,Killed,Dangerous Assignment,
https://cpj.org/data/people/adel-naji-al-mansouri/,Adel Naji al-Mansouri,Al-Alam,"July 29, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/adel-sayegh/,Adel Sayegh,Salaheddin TV,August 2015,Iraq,Killed,Murder,
https://cpj.org/data/people/adel-zerrouk/,Adel Zerrouk,Al-Rai,"June 14, 2001",Algeria,Killed,Dangerous Assignment,
https://cpj.org/data/people/adil-bunyatov/,Adil Bunyatov,Reuters TV and Turan News Agency,"March 17, 1995",Azerbaijan,Killed,Crossfire,
https://cpj.org/data/people/adlan-khasanov/,Adlan Khasanov,Reuters,"May 9, 2004",Russia,Killed,Dangerous Assignment,
https://cpj.org/data/people/adnan-al-bayati/,Adnan al-Bayati,TG3,"July 23, 2005",Iraq,Killed,Murder,
https://cpj.org/data/people/adnan-al-safi/,Adnan al-Safi,Al-Anwar,"July 27, 2007",Iraq,Killed,Murder,
https://cpj.org/data/people/adnan-khairallah/,Adnan Khairallah,Wasan Productions and Al-Arabiya,"February 23, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/adolfo-isuiza-urquia/,Adolfo Isuiza Urquia,Radio Tropical,"August 23, 1992",Peru,Killed,Murder,
https://cpj.org/data/people/adolphe-missamba-ndengi-kavula/,Adolphe Missamba Ndengi Kavula,Nsemo,"November 12, 1994",Democratic Republic of the Congo,Killed,Murder,
https://cpj.org/data/people/adrian-silva-moreno/,Adrián Silva Moreno,Freelance,"November 14, 2012",Mexico,Killed,Dangerous Assignment,
https://cpj.org/data/people/agus-muliawan/,Agus Muliawan,Asia Press International,"September 25, 1999",East Timor,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmad-hallak/,Ahmad Hallak,Al-Buraq Media Institution,"August 2, 2016",Syria,Killed,Crossfire,
https://cpj.org/data/people/ahmad-kareem/,Ahmad Kareem,Kurdistan TV,"August 25, 2003",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ahmad-mohamed-mahmoud/,Ahmad Mohamed Mahmoud,Al-Ta'awun,"February 4, 2011",Egypt,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmad-omaid-khpalwak/,Ahmad Omaid Khpalwak,"Pajhwok Afghan News, BBC","July 28, 2011",Afghanistan,Killed,Crossfire,
https://cpj.org/data/people/ahmad-shaban/,Ahmad Sha'ban,Al-Shaabiya,"October 12, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-aka-hakim-takouchet/,Ahmed (aka Hakim) Takouchet,Radio Cirta,"June 18, 1995",Algeria,Killed,Murder,
https://cpj.org/data/people/ahmed-abdel-gawad/,Ahmed Abdel Gawad,"Al-Akhbar, Misr25","August 14, 2013",Egypt,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-abdul-samad/,Ahmed Abdul Samad,Dijlah TV,"January 10, 2020",Iraq,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-abu-al-hamza/,Ahmed Abu al-Hamza,"SMART News Agency, Hama Media Center","November 6, 2015",Syria,Killed,Crossfire,
https://cpj.org/data/people/ahmed-abu-hussein/,Ahmed Abu Hussein,"Voice of the People Radio,Bisan News Agency","April 25, 2018",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-adam/,Ahmed Adam,Al-Mada,"May 15, 2005",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-addow-anshur/,Ahmed Addow Anshur,Shabelle Media Network,"May 24, 2012",Somalia,Killed,Murder,
https://cpj.org/data/people/ahmed-adnan-al-ashlaq/,Ahmed Adnan al-Ashlaq,Shaam News Network,"May 27, 2012",Syria,Killed,Crossfire,
https://cpj.org/data/people/ahmed-al-assam/,Ahmed al-Assam,Freelance,"May 28, 2012",Syria,Killed,Crossfire,
https://cpj.org/data/people/ahmed-al-rubaii/,Ahmed al-Rubai'i,Al-Sabah,"mid-April, 2005",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-al-shaibani/,Ahmed al-Shaibani,"Yaman News, Yemen TV","February 16, 2016",Yemen,Killed,Crossfire,
https://cpj.org/data/people/ahmed-assem-el-senousy/,Ahmed Assem el-Senousy,Freedom and Justice,"July 8, 2013",Egypt,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-azize/,Ahmed Azize,Aleppo News Network,"August 10, 2018",Syria,Killed,Crossfire,
https://cpj.org/data/people/ahmed-farah-ilyas/,Ahmed Farah Ilyas,Universal TV,"October 23, 2012",Somalia,Killed,Murder,
https://cpj.org/data/people/ahmed-hadi-naji/,Ahmed Hadi Naji,Associated Press Television News,"January 5, 2007",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-haidar/,Ahmed Haidar,Al-Manar Television,"July 26, 1993",Lebanon,Killed,Crossfire,
https://cpj.org/data/people/ahmed-hasan-ahmed/,Ahmed Hasan Ahmed,Xinhua News Agency,"June 20, 2014",Syria,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-hassan-mahad/,Ahmed Hassan Mahad,Radio Jowhar,"May 16, 2007",Somalia,Killed,Crossfire,
https://cpj.org/data/people/ahmed-hussein-al-maliki/,Ahmed Hussein Al-Maliki,Talafar al-Yawm,"November 7, 2005",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-hussein-suale-divela/,Ahmed Hussein-Suale Divela,Tiger Eye Private Investigations,"January 16, 2019",Ghana,Killed,Murder,
https://cpj.org/data/people/ahmed-ismail-hassan/,Ahmed Ismail Hassan,Freelance,"March 31, 2012",Bahrain,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-issaad/,Ahmed Issaad,Algerian Television,"November 30, 1994",Algeria,Killed,Murder,
https://cpj.org/data/people/ahmed-jabbar-hashim/,Ahmed Jabbar Hashim,Al-Sabah,"April 1, 2005",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-kafi-awale/,Ahmed Kafi Awale,Radio of the Somali People,"January 26, 2000",Somalia,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-mohamed-al-mousa/,Ahmed Mohamed al-Mousa,Raqqa is Being Slaughtered Silently,"December 16, 2015",Syria,Killed,Murder,
https://cpj.org/data/people/ahmed-muhana-al-lami/,Ahmed Muhana al-Lami,Freelance,"December 6, 2019",Iraq,Killed,Dangerous Assignment,
https://cpj.org/data/people/ahmed-rajib-haider/,Ahmed Rajib Haider,Freelance,"February 15, 2013",Bangladesh,Killed,Murder,
https://cpj.org/data/people/ahmed-rilwan-abdulla/,Ahmed Rilwan Abdulla,Minivan News,"August 8, 2014",Maldives,Killed,Murder,
https://cpj.org/data/people/ahmed-riyadh-al-karbouli/,Ahmed Riyadh al-Karbouli,Baghdad TV,"September 18, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-salim/,Ahmed Salim,Al-Sharqiya,"September 13, 2008",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-shawkat/,Ahmed Shawkat,Bilah Ittijah,"October 28, 2003",Iraq,Killed,Murder,
https://cpj.org/data/people/ahmed-wael-bakri/,Ahmed Wael Bakri,Al-Sharqiyah,"June 28, 2005",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ahmet-haceroglu/,Ahmet Haceroğlu,Türkmeneli TV,"October 21, 2016",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ahmet-taner-kislali/,Ahmet Taner Kislali,Cumhuriyet,"October 21, 1999",Turkey,Killed,Murder,
https://cpj.org/data/people/aiyathurai-nadesan/,Aiyathurai Nadesan,Virakesari,"May 31, 2004",Sri Lanka,Killed,Murder,
https://cpj.org/data/people/ajmal-naqshbandi/,Ajmal Naqshbandi,freelance,"April 8, 2007",Afghanistan,Killed,Murder,
https://cpj.org/data/people/akhmednabi-akhmednabiyev/,Akhmednabi Akhmednabiyev,Novoye Delo,"July 9, 2013",Russia,Killed,Murder,
https://cpj.org/data/people/al-hosseiny-abou-deif/,Al-Hosseiny Abou Deif,El-Fagr,"December 12, 2012",Egypt,Killed,Murder,
https://cpj.org/data/people/al-moutaz-bellah-ibrahim/,Al-Moutaz Bellah Ibrahim,Shaam News Network,"May 4, 2014",Syria,Killed,Murder,
https://cpj.org/data/people/alaa-abdel-wahab/,Alaa Abdel-Wahab,Al-Baghdadia TV,"May 31, 2009",Iraq,Killed,Crossfire,
https://cpj.org/data/people/alaa-abdul-karim-al-fartoosi/,Alaa Abdul-Karim al-Fartoosi,Al-Forat,"January 29, 2008",Iraq,Killed,Crossfire,
https://cpj.org/data/people/alaa-edward-butros/,Alaa Edward Butros,Freelance,"November 24, 2013",Iraq,Killed,Murder,
https://cpj.org/data/people/alaa-kraym-mohammed-al-qabouni/,Alaa Kraym (Mohammed al-Qabouni),Qaboun Media Center,"May 4, 2017",Syria,Killed,Crossfire,
https://cpj.org/data/people/alaa-nayef-al-khader-al-khalidi/,Alaa Nayef al-Khader al-Khalidi,Douma Coordination Office,"Between September 2016 and July 12, 2019",Syria,Killed,Unknown,
https://cpj.org/data/people/alaa-uldeen-aziz/,Alaa Uldeen Aziz,ABC News,"May 17, 2007",Iraq,Killed,Murder,
https://cpj.org/data/people/alberto-graves-chakussanga/,Alberto Graves Chakussanga,Radio Despertar,"September 5, 2010",Angola,Killed,Murder,
https://cpj.org/data/people/alberto-rivera-fernandez/,Alberto Rivera Fernández,Frecuencia Oriental,"April 12, 2004",Peru,Killed,Murder,
https://cpj.org/data/people/aleh-byabenin/,Aleh Byabenin,Charter 97,"September 3, 2010",Belarus,Killed,Murder,
https://cpj.org/data/people/alejandro-perez/,Alejandro Pérez,Channel 2-Frequencia Latina TV,"June 5, 1992",Peru,Killed,Murder,
https://cpj.org/data/people/alejandro-reblando/,Alejandro Reblando,Manila Bulletin,"November 23, 2009",Philippines,Killed,Murder,
https://cpj.org/data/people/alejandro-zenon-fonseca-estrada/,Alejandro Zenón Fonseca Estrada,EXA FM,"September 24, 2008",Mexico,Killed,Murder,
https://cpj.org/data/people/aleksandr-rastorguyev/,Aleksandr Rastorguyev,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,Killed,Dangerous Assignment,
https://cpj.org/data/people/aleksandr-sidelnikov/,Aleksandr Sidelnikov,Lennauchfilm Studio,"October 4, 1993",Russia,Killed,Dangerous Assignment,
https://cpj.org/data/people/aleksandr-smirnov/,Aleksandr Smirnov,Molodyozhny Kuryer,"October 4, 1993",Russia,Killed,Dangerous Assignment,
https://cpj.org/data/people/aleksandr-yefremov/,Aleksandr Yefremov,Nashe Vremya,"May 12, 2000",Russia,Killed,Crossfire,
https://cpj.org/data/people/aleksei-sidorov/,Aleksei Sidorov,Tolyatinskoye Obozreniye,"October 9, 2003",Russia,Killed,Murder,
https://cpj.org/data/people/alessandro-otta/,Alessandro Otta,RAI-TV,"January 28, 1994",Bosnia,Killed,Crossfire,
https://cpj.org/data/people/alexander-klimchuk/,Alexander Klimchuk,Caucasus Images,"August 10, 2008",Georgia,Killed,Crossfire,
https://cpj.org/data/people/alexandra-tuttle/,Alexandra Tuttle,The Wall Street Journal,"September 22, 1993",Georgia,Killed,Crossfire,
https://cpj.org/data/people/alexis-bandyatuyaga/,Alexis Bandyatuyaga,National Radio and Television of Burundi,"September 14, 1994",Burundi,Killed,Murder,
https://cpj.org/data/people/alfredo-abad-lopez/,Alfredo Abad López,La Voz de la Selva,"December 13, 2000",Colombia,Killed,Murder,
https://cpj.org/data/people/alfredo-antonio-hurtado-nunez/,Alfredo Antonio Hurtado Núñez,Canal 33,"April 25, 2011",El Salvador,Killed,Murder,
https://cpj.org/data/people/alfrets-mirulewan/,Alfrets Mirulewan,Pelangi Weekly,"December 17, 2010",Indonesia,Killed,Murder,
https://cpj.org/data/people/ali-abbas/,Ali Abbas,SANA,"August 11, 2012",Syria,Killed,Murder,
https://cpj.org/data/people/ali-abboud/,Ali Abboud,Radio Chaine 1,"January 7, 1995",Algeria,Killed,Murder,
https://cpj.org/data/people/ali-abdel-aziz/,Ali Abdel Aziz,Al-Arabiya,"March 18, 2004",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ali-ahmed-abdi/,Ali Ahmed Abdi,Freelance,"March 4, 2012",Somalia,Killed,Murder,
https://cpj.org/data/people/ali-al-khatib/,Ali al-Khatib,Al-Arabiya,"March 19, 2004",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ali-boukerbache/,Ali Boukerbache,Media-TV,"March 21, 1995",Algeria,Killed,Murder,
https://cpj.org/data/people/ali-hassan-al-jaber/,Ali Hassan al-Jaber,Al-Jazeera,"March 13, 2011",Libya,Killed,Crossfire,
https://cpj.org/data/people/ali-ibrahim-issa/,Ali Ibrahim Issa,Al-Hurriya,"April 14, 2005",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ali-jaafar/,Ali Jaafar,Al-Iraqiya,"May 31, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/ali-mahmoud-othman/,Ali Mahmoud Othman,Freelance,"December 30, 2013",Syria,Killed,Unknown,
https://cpj.org/data/people/ali-mahmud/,Ali Mahmud,Al-Ghadeer TV,"July 13, 2016",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ali-mustafa/,Ali Mustafa,Freelance,"March 9, 2014",Syria,Killed,Crossfire,
https://cpj.org/data/people/ali-nur-siad/,Ali Nur Siad,Voice of America,"October 14, 2017",Somalia,Killed,Dangerous Assignment,
https://cpj.org/data/people/ali-risan/,Ali Risan,Al-Sumaria TV,"October 22, 2016",Iraq,Killed,Crossfire,
https://cpj.org/data/people/ali-saleemi/,Ali Saleemi,Mashal TV,"April 30, 2018",Afghanistan,Killed,Murder,
https://cpj.org/data/people/ali-shaaban/,Ali Shaaban,Al-Jadeed,"April 9, 2012",Lebanon,Killed,Crossfire,
https://cpj.org/data/people/ali-sharmarke/,Ali Sharmarke,HornAfrik,"August 11, 2007",Somalia,Killed,Murder,
https://cpj.org/data/people/alisher-saipov/,Alisher Saipov,Siyosat,"October 24, 2007",Kyrgyzstan,Killed,Murder,
https://cpj.org/data/people/alison-parker/,Alison Parker,WDBJ7,"August 26, 2015",USA,Killed,Dangerous Assignment,
https://cpj.org/data/people/allah-noor/,Allah Noor,Khyber TV,"February 7, 2005",Pakistan,Killed,Murder,
https://cpj.org/data/people/allaoua-ait-mbarak/,Allaoua Ait M'barak,Le Soir d'Algérie,"February 11, 1996",Algeria,Killed,Murder,
https://cpj.org/data/people/almigdad-mojalli/,Almigdad Mojalli,Freelance,"January 17, 2016",Yemen,Killed,Crossfire,
https://cpj.org/data/people/aloys-nyimbuzi/,Aloys Nyimbuzi,L'Observateur,"April 7, 1994",Rwanda,Killed,Murder,
https://cpj.org/data/people/alpha-amadu-bah/,Alpha Amadu Bah,Independent Observer,"January 17, 1999",Sierra Leone,Killed,Murder,
https://cpj.org/data/people/altaf-ahmed-faktoo/,Altaf Ahmed Faktoo,Doordarshan TV,"January 1, 1997",India,Killed,Murder,
https://cpj.org/data/people/alwan-al-ghorabi/,Alwan al-Ghorabi,Afaq,"June 21, 2011",Iraq,Killed,Dangerous Assignment,
https://cpj.org/data/people/amado-ramirez-dillanes/,Amado Ramírez Dillanes,Televisa and Radiorama,"April 6, 2007",Mexico,Killed,Murder,
https://cpj.org/data/people/amer-diab/,Amer Diab,Freelance,"March 29, 2013",Syria,Killed,Crossfire,
https://cpj.org/data/people/amer-malallah-al-rashidi/,Amer Malallah al-Rashidi,Al-Mosuliya,"September 3, 2007",Iraq,Killed,Murder,
https://cpj.org/data/people/ameur-ouagueni/,Ameur Ouagueni,Le Matin,"August 20, 1995",Algeria,Killed,Murder,
https://cpj.org/data/people/amir-nowab/,Amir Nowab,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Killed,Murder,
https://cpj.org/data/people/amjad-anas-aktalati/,Amjad Anas Aktalati,Freelance,"February 4, 2020",Syria,Killed,Crossfire,
https://cpj.org/data/people/amjad-hameed/,Amjad Hameed,Al-Iraqiya,"March 11, 2006",Iraq,Killed,Murder,
https://cpj.org/data/people/amjad-hassan-bakir/,Amjad Hassan Bakir,Saraqib al-Hadath,"June 18, 2019",Syria,Killed,Crossfire,
https://cpj.org/data/people/ammar-al-shami/,Ammar al-Shami,Qasioun News,"May 31, 2015",Syria,Killed,Crossfire,
https://cpj.org/data/people/ammar-mohamed-suhail-zado/,Ammar Mohamed Suhail Zado,Shaam News Network,"May 27, 2012",Syria,Killed,Crossfire,
https://cpj.org/data/people/amparo-leonor-jimenez-pallares/,Amparo Leonor Jiménez Pallares,"""QAP"" and ""En Vivo""","August 11, 1998",Colombia,Killed,Murder,
https://cpj.org/data/people/amr-badir-al-deen-junaid/,Amr Badir al-Deen Junaid,Qaboun Media Center,"March 10, 2013",Syria,Killed,Crossfire,
https://cpj.org/data/people/anak-agung-prabangsa/,Anak Agung Prabangsa,Radar Bali,"February 11, 2009",Indonesia,Killed,Murder,
https://cpj.org/data/people/ananta-bijoy-das/,Ananta Bijoy Das,Freelance,"May 12, 2015",Bangladesh,Killed,Murder,
https://cpj.org/data/people/anas-al-dyab/,Anas al-Dyab,Freelance,"July 21, 2019",Syria,Killed,Crossfire,
https://cpj.org/data/people/anas-al-tarsha/,Anas al-Tarsha,Freelance,"February 24, 2012",Syria,Killed,Crossfire,
https://cpj.org/data/people/anastase-seruvumba/,Anastase Seruvumba,Imbaga,"April 29, 1994",Rwanda,Killed,Murder,
https://cpj.org/data/people/anastasiya-baburova/,Anastasiya Baburova,Novaya Gazeta,"January 19, 2009",Russia,Killed,Murder,
https://cpj.org/data/people/anatoly-klyan/,Anatoly Klyan,Pervy Kanal,"June 30, 2014",Ukraine,Killed,Dangerous Assignment,
https://cpj.org/data/people/anatoly-levin-utkin/,Anatoly Levin-Utkin,Yuridichesky Peterburg Segodnya,"August 24, 1998",Russia,Killed,Murder,
https://cpj.org/data/people/ando-ratovonirina/,Ando Ratovonirina,Radio Télévision Analamanga,"February 7, 2009",Madagascar,Killed,Dangerous Assignment,
https://cpj.org/data/people/andre-kameya/,André Kameya,Rwanda Rushya,"April-June, 1994",Rwanda,Killed,Murder,
https://cpj.org/data/people/andrea-rocchelli/,Andrea Rocchelli,Cesura photo agency,"May 24, 2014",Ukraine,Killed,Crossfire,
https://cpj.org/data/people/andrei-soloviev/,Andrei Soloviev,ITAR-TASS,"September 27, 1993",Georgia,Killed,Crossfire,
https://cpj.org/data/people/andrei-stenin/,Andrei Stenin,Rossiya Segodnya,"August 6, 2014",Ukraine,Killed,Crossfire,
https://cpj.org/data/people/andres-teodoro/,Andres Teodoro,Central Mindanao Inquirer,"November 23, 2009",Philippines,Killed,Murder,
https://cpj.org/data/people/angel-eduardo-gahona/,Ángel Eduardo Gahona,El Meridiano,"April 21, 2018",Nicaragua,Killed,Dangerous Assignment,
https://cpj.org/data/people/anil-mazumdar/,Anil Mazumdar,Aji,"March 24, 2009",India,Killed,Murder,
https://cpj.org/data/people/anja-niedringhaus/,Anja Niedringhaus,The Associated Press,"April 4, 2014",Afghanistan,Killed,Dangerous Assignment,
https://cpj.org/data/people/anna-politkovskaya/,Anna Politkovskaya,Novaya Gazeta,"October 7, 2006",Russia,Killed,Murder,
https://cpj.org/data/people/anthony-macharia/,Anthony Macharia,Reuters,"July 12, 1993",Somalia,Killed,Murder,
